영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
암수살인,"범죄, 드라마",김태균,"김윤석, 주지훈, 문정희, 진선규, 이유준, 김종수, 권회수, 허진, 배해선, 이봉련, 정기섭, 원현준, 정종준, 이재현, 이윤재, 김지성, 이현주, 임병우, 김진혁, 김학준, 윤성원, 박성현, 박진수, 박진영, 김영웅, 김미경, 김미화, 황재열, 박재한, 변창열",20181003,https://image.tmdb.org/t/p/w500/j2DhCOOfTv3xCLELreArzea9tRJ.jpg,"수감된 살인범 강태오는 형사 김형민에게 추가 살인을 자백한다. 형사의 직감으로 자백이 사실임을 확신하게 된 형민은, 태오가 적어준 7개의 살인 리스트를 믿고 수사에 들어간다. 태오의 추가 살인은 세상에 알려지지 않은 암수사건. 형민은 태오가 거짓과 진실을 교묘히 뒤섞고 있다는 걸 알게 되지만 수사를 포기하지 않는다. 그러나 다가오는 공소시효와 부족한 증거로 인해 수사는 난항을 겪게 되는데.."
베놈,"액션, SF, 스릴러",루벤 플레셔,"톰 하디, 미쉘 윌리엄스, 리즈 아메드, 제니 슬레이트",20181003,https://image.tmdb.org/t/p/w500/x4ojC59pYfPlAP4mmy2LSkCCuK2.jpg,진실을 위해서라면 몸을 사리지 않고 사회의 부조리를 취재하는 정의로운 열혈 기자 에디 브록. 거대 기업 라이프 파운데이션의 생체실험에 의혹을 품고 뒤를 쫓던 그는 이들의 사무실에 잠입했다가 실험실에서 외계 생물체 심비오트의 기습 공격을 받게 된다. 심비오트가 숙주의 몸과 정신을 지배할 때 능력을 발휘하는 베놈은 에디의 몸에 기생하며 갖가지 소동을 일으킨다. 한편 비밀리에 인간과 심비오트를 결합해 새로운 생명체를 만들려는 시도를 계속하던 라이프 파운데이션의 회장 드레이크 또한 심비오트의 숙주가 된다.
미쓰백,드라마,이지원,"한지민, 김시아, 이희준, 권소현, 백수장, 장영남, 김선영, 이주영, 이정은, 전석호, 조민준, 윤송아, 신수정, 이지원, 김지혜, 김지희, 박지선, 강가미, 김미선, 김민기, 한용환, 김보민, 김호창, 도영서",20181011,https://image.tmdb.org/t/p/w500/tc7yFafglAE6VoxYvnefGm8ExcA.jpg,"스스로를 지키려다 어린 나이에 전과자가 되어 외롭게 살아가던 백상아. 누구도 믿지 않고 아무것도 마음에 두지 않던 어느 날, 나이에 비해 작고 깡마른 몸, 홑겹 옷을 입은 채 가혹한 현실에서 탈출하려는 아이 지은을 만나게 된다. 왠지 자신과 닮은 듯한 아이 지은을 외면할 수 없는 상아는 지은을 구하기 위해 세상과 맞서기로 결심하는데…  “이런 나라도, 같이 갈래?”"
곰돌이 푸 다시 만나 행복해,어드벤처,마크 포스터,"이완 맥그리거, 헤일리 앳웰, 마크 게티스, 짐 커밍스, 크리스 오다우드, 소피 오코네도",20181003,https://image.tmdb.org/t/p/w500/aRgqTDrxZtq1YkZx5OUlZiqL3AX.jpg,"어른이 된 나 로빈(이완 맥그리거)은 가족도 일도 모두 완벽해 보이지만, 한편 지쳐가는 일상 속에 서있다. 어느 날, 눈 앞에 가장 행복한 시간을 함께했던 비밀 친구 ‘곰돌이 푸와 일행’들이 다시 찾아오게 되고 뜻하지 않게 놀라운 모험 속에 빠져들게 되는데…"
안시성,"사극, 액션",김광식,"조인성, 남주혁, 박성웅, 김동진, 배성우, 엄태구, 설현, 박병은, 오대환, 성동일, 정은채, 유오성, 정지훈, 김욱, 장광, 스테파니 리, 이태진, 신현숙, 김경희, 차영주, 김미지, 여윤호, 박인수, 이승일, 이현, 이경재, 이낙준, 이동민, 이상혁, 이상호, 이성욱, 이세민, 이승석, 배유리, 이승환, 배준수, 이원재, 이은희, 이은희, 이인규, 이정민, 김종호, 이준우, 이진용, 이태진, 이호준, 임동영, 임상현, 김현우, 김현창, 나대한, 오진석, 유병주, 윤정열, 문창준, 박경관, 임용순, 박세준, 정미경, 정태영, 조석현, 조형래, 조혜인, 조혜인, 김대현, 김동민, 김명준, 김민혁, 최희열, 한명환, 한아름, 한정환, 김이현, 김원중, 김세홍, 강희중, 주석태, 손영순, 옥자연, 여이레, 정인겸, 신유람, 박태산, 정태야, 황재필, 이람, 정현국, 오일용, 이정선, 이민혁, 문창완, 장이준, 고영현, 김한솔",20180919,https://image.tmdb.org/t/p/w500/buZA2PJAIHxDBby6vYGgvcYpaxH.jpg,"천하를 손에 넣으려는 당 태종은 수십만 대군을 동원해 고구려의 변방 안시성을 침공한다. 20만 당나라 최강 대군 VS 5천명의 안시성 군사들. 40배의 전력 차이에도 불구하고, 안시성 성주 양만춘과 전사들은 당나라에 맞서 싸우기로 결심하는데..  동아시아 역사상 가장 위대한 승리를 이끈 안시성 전투가 시작된다!"
펭귄 하이웨이,"애니메이션, 어드벤처, 판타지",이시다 히로야스,"키타 카나, 아오이 유우",20181018,https://image.tmdb.org/t/p/w500/jQW0P01rrsvi2CMHvYIH3KP7Z43.jpg,"조금 이상하지만 평생 잊지 못할 그 여름이 시작된다. 초등학교 4학년인 아오야마는 매일같이 세상을 공부하고 알게 된 것을 노트에 기록하는 남자아이. 영리한 데다 매일 노력을 아끼지 않고 공부하기 때문에 “아마 나중에 위대한 사람이 될 거야”라고 자신도 생각한다. 그런 아오야마에게 다른 무엇보다 흥미로운 것은, 아오야마가 다니는 치과의 ‘누나’. 상냥하고 가슴이 크며 자유분방하지만 어딘가 신비로운 구석이 있는 사람. 아오야마는 날마다 누나에 대한 연구도 부지런하게 하고 있다. 여름 방학을 한 달 앞둔 어느 날, 아오야마가 사는 교외의 마을에 펭귄이 나타난다. 놀란 마을 사람들이 소란스러운 사이에, 바다도 없는 주택가에 갑자기 나타났다가 사라진 펭귄들은 대체 어디에서 와서 어디로 간 걸까 …? 펭귄의 수수께끼를 풀기 위해 [펭귄 하이웨이] 연구를 시작한 아오야마는, 누나가 던진 콜라 캔이 펭귄으로 변신하는 것을 목격한다. 당황한 아오야마에게 누나는 웃으며 말했다.  “이 수수께끼도 풀어 보렴. 어때, 할 수 있겠어?”  한편, 아오야마와 그의 연구 친구인 우치다에게 같은 반 친구 하마모토가 숲속 초원에 떠 있는 투명하고 커다란 둥근 물체의 존재에 대해 알려준다. 골목대장 스즈키 일행이 훼방 놓아도, 펭귄과 그 둥근 물체인 “바다”의 연구를 이어가는 아오야마와 친구들. 마침내 아오야마는 “바다”와 펭귄, 그리고 누나에게는 어떠한 연결고리가 있지 않을까 하고 생각한다. 그러던 어느 날, 누나의 몸 상태에 이상한 변화가 일어나고, 동시에 이상한 현상이 마을을 덮친다. 마을에 대피 지시가 내려지고, 아오야마는 어느 을 가지고 뛰기 시작한다! 과연 누나와 펭귄, 그리고 “바다”의 수수께끼는 풀릴 것인가?"
배반의 장미,코미디,박진영,"김인권, 정상훈, 손담비, 김성철, 박철민, 이수정, 이승은, 이정우, 서지은, 이종수, 김태형, 안준태, 남기주, 문득산, 임용순, 정종훈, 정종훈, 김대근, 최재원, 김수경, 김예진",20181018,https://image.tmdb.org/t/p/w500/tYim5dxbAj33Ow38mtjLG9m5OSt.jpg,"각자 자신의 인생이 세상 제일 우울하고 슬플 것이라 자부하는 3명의 남자와 1명의 여자가 만나, 한날한시에 함께 가기로 결심한다. 거사를 위해 먼저 모인 닉네임 ‘최후의 불꽃’ 병남, ‘인생은 미완성’ 심선, ‘행복은 성적순’ 두석. 인생의 끝에 선 세 남자는 가슴에 품어왔던 버킷리스트를 실천하며 비장하게 마지막을 준비한다. 그때 마지막 한 사람, 닉네임 ‘배반의 장미’ 미지가 도착하고 아름답고 매력적인 그녀의 등장으로 모두의 계획에 차질이 생기는데… 완벽한 그녀의 놀라운 과거가 밝혀지며 죽음의 위기(!)에서 살아남기 위한 네 사람의 아주 특별한 하루가 시작된다!"
액슬,"액션, 어드벤처",올리버 달리,"알렉스 뉴이스테터, 베키 지, 토마스 제인, 도미닉 레인스, 알렉스 맥니콜",20181018,https://image.tmdb.org/t/p/w500/laCuF1fFShkWCXlbCuhSEVoWGO1.jpg,"인공지능 로봇개 액슬을 우연히 발견한 마일스, 미래형 병기로 만들어졌지만 강아지의 특징을 간직한 액슬을 지키기 위해 생사를 건 모험을 시작한다!"
더 넌,공포(호러),코린 하디,"타이사 파미가, 데미안 비쉬어, 보니 아론스, 샬롯 호프",20180919,https://image.tmdb.org/t/p/w500/mN226GIDSMhWBpqPJopGlLk3qXn.jpg,루마니아의 젊은 수녀가 자살하는 사건을 의뢰 받아 바티칸에서 파견된 버크 신부와 아이린 수녀가 수녀원을 조사하면서 충격적인 악령의 실체와 만나게 되는 이야기를 그린다.
명당,사극,박희곤,"조승우, 지성, 김성균, 백윤식, 문채원, 유재명, 박충선, 이원근, 김민재, 강태오, 정재헌, 김규선, 김서현, 전신환, 조현식, 허성태, 심희섭, 조성환, 송영재, 이가희, 이규섭, 이동희, 이세희, 이수아, 이성훈, 이유리, 이정현, 김준영, 이주연, 이창석, 김진혁, 안성봉, 김하림, 박기태, 임지은, 정재용, 박지현, 정한길, 정혜경, 최선호, 김도연, 김동규, 김동현, 최우석, 홍은진, 홍준호, 김선문, 김서연, 김기태, 손성찬, 홍완표, 정종열, 이육헌, 이종윤, 백인권, 배진호, 이정민, 이정빈, 이승철",20180919,https://image.tmdb.org/t/p/w500/fpFucJQ5eGlSE0v4PaZ2TOijxO5.jpg,"땅의 기운을 점쳐 인간의 운명을 바꿀 수 있는 천재 지관 박재상은 명당을 이용해 나라를 지배하려는 장동 김씨 가문의 계획을 막다 가족을 잃게 된다. 13년 후, 복수를 꿈꾸는 박재상 앞에 세상을 뒤집고 싶은 몰락한 왕족 흥선이 나타나 함께 장동 김씨 세력을 몰아낼 것을 제안한다. 뜻을 함께하여 김좌근 부자에게 접근한 박재상과 흥선은 두 명의 왕이 나올 천하명당의 존재를 알게 되고, 서로 다른 뜻을 품게 되는데…"
협상,범죄,이종석,"현빈, 손예진, 김상호, 장영남, 장광, 조영진, 이주영, 박수영, 이학주, 박형수, 이시아, 최병모, 박성근, 정인겸, 김민상, 이문식, 박수민, 이현, 이동희, 김준영, 김지성, 이지훈, 이주환, 안성봉, 김희진, 유관형, 장민정, 박영수, 박지훈, 정재호, 정지상, 정휘욱, 김보민, 김선희, 김송이, 김유진, 차래형, 어성욱, 도영서, 곽자형, 김그림, 윤성우, 여민구, 배서하, 곽민규, 장우용",20180919,https://image.tmdb.org/t/p/w500/imd5SWNlfs0uoaDftLvb9ZlgLKr.jpg,"어떠한 상황에서도 냉철함을 잃지 않던 최고의 협상가 하채윤은 긴급 투입된 현장에서 인질과 인질범 모두 사망하는 사건을 겪고 충격에 휩싸인다. 그로부터 10일 후, 경찰청 블랙리스트에 오른 국제 범죄조직의 무기 밀매업자 민태구가 태국에서 한국 경찰과 기자를 납치하고 그녀를 협상 대상으로 지목한다. 이유도 목적도 조건도 없이 사상 최악의 인질극을 벌이는 민태구와 그를 멈추기 위해 한치도 물러설 수 없는 협상가 하채윤. 남은 시간 12시간, 목숨을 건 일생일대의 협상이 시작된다!"
서치,드라마,아니쉬 차간티,"존 조, 데브라 메싱",20180829,https://image.tmdb.org/t/p/w500/3BJu5DQzK9w8PIeIXSAOCfcWKMu.jpg,"목요일 저녁, 딸 마고에게 걸려온 부재중 전화 3통. 아빠 데이빗은 그 후 연락이 닿지 않는 딸이 실종됐음을 알게된다. 경찰의 조사는 본격적으로 시작되지만 결정적인 단서들이 나오지 않는 가운데, 실종된 날 밤 마고가 향하던 곳이 밝혀지며 새로운 사실들이 발견된다. 사건의 실마리를 찾은 곳은 다름 아닌 딸 마고의 노트북! 구글, 유튜브, 페이스북 등 SNS에서 상상조차하지 못한 딸의 진실이 펼쳐지는데…"
물괴,"액션, 사극",허종호,"김명민, 김인권, 이혜리, 최우식, 김용호, 박성웅, 박희순, 이경영, 강태영, 조원희, 한도진, 김준범, 이강진, 이규현, 이기창, 이정훈, 이정훈, 김종윤, 김주연, 이찬유, 김학충, 김혜린, 김호진, 유병선, 윤보현, 박건우, 박소은, 정자영, 박하현, 정효경, 최윤지, 최윤지, 최재욱, 김성수, 김영철, 이서준, 이양희, 김규백, 최교식, 엄지만, 추연규, 강성훈, 이상협, 이상철, 박정규, 오진호",20180912,https://image.tmdb.org/t/p/w500/mV0E3t1AtaYHlvM6HNOTJ1SmYjt.jpg,"중종 22년, 거대한 물괴가 나타나 백성들을 공격하기 시작한다. 물괴와 마주친 백성들은 그 자리에서 잔인하게 죽임을 당하거나 살아남아도 역병에 걸려 끔찍한 고통 속에 결국 죽게 되고, 한양은 삽시간에 공포에 휩싸인다. 모든 것이 자신을 몰아세우는 영의정과 관료들의 계략이라 여긴 중종은 옛 내금위장 윤겸을 궁으로 불러들여 수색대를 조직한다. 윤겸과 오랜 세월을 함께한 성한과 외동딸 명, 그리고 왕이 보낸 허선전관이 그와 함께 한다. 물괴를 쫓던 윤겸과 수색대는 곧 실로 믿을 수 없는 거대한 비밀을 마주하게 되는데…"
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,애니메이션,우시로 신지,"여민정, 김지율, 홍범기, 신용우, 이호산",20180920,https://image.tmdb.org/t/p/w500/A30lXTszeKcCZ1Q0BqFgxbhjpAm.jpg,"도깨비왕 ‘라선’은 자신의 부활을 위해, 사악한 요괴 바이러스 ‘어둠깨비’를 지구에 퍼뜨리고  ‘어둠깨비’들은 외로운 소년 ‘서도영’을 통해 어둠의 힘을 증식시킨다.  한편 ‘염라대왕’의 지시를 받아 새로운 요괴워치의 주인을 찾던 ‘위스퍼’는  정의감이 강한 소녀 ‘윤단아’와 술법을 사용할 줄 아는 소년 ‘천유성’을 만난다.  ‘윤단아’는 절체절명의 위기에서 벗어나기 위해 요괴들을 소환하기 시작하고,  요괴들에게는 라이트사이드&섀도사이드 두 개의 얼굴이 있다는 사실을 알게 된다.  그리고 마침내 시작된 운명의 전투!"
루이스,애니메이션,"울프강 라우엔슈타인, 크리스토프 라우엔슈타인",,20180920,https://image.tmdb.org/t/p/w500/wa6Ti6L1R52NcxiRQJYOYkCsCsa.jpg,"우연히 지구 홈쇼핑을 보게 된 외계 3총사 ‘모그’, ‘내그’, ‘와보’! 은하계에 없는 고탄성 강화 섬유 ‘누비두비’ 마사지 매트를 구하기 위해 급기야 지구로 출동한다. 한편, 외계인 연구에 몰두하는 괴짜 아빠로 인해 아동보호소에 보내질 위기에 처한 지구 소년 ‘루이스’는 12번째 생일을 맞은 날‘모그’, ‘내그’, ‘와보’를 만나게 되는데…! 지구를 떠나고 싶은 ‘루이스’와 쇼퍼홀릭 외계 3총사의 시끌벅적 지구 쇼핑기가 시작된다!"
체실 비치에서,"드라마, 멜로/로맨스",도미닉 쿡,"시얼샤 로넌, 빌리 하울, 에밀리 왓슨, 앤-마리 듀프",20180920,https://image.tmdb.org/t/p/w500/67KD1Dqlc9GYY28AqSR7DUEWR7F.jpg,이제 막 결혼식을 올리고 신혼여행지인 ‘체실 비치’에 도착한 플로렌스와 에드워드.  서로를 행복하게 해주겠다고 약속했지만 아직 서툴렀기에  가장 행복해야 할 순간에 서로에게 상처만 남긴 채 헤어지고 만다.  그리고 서로가 알지 못했던 사랑의 비밀이 오랜 기다림 끝에 밝혀지는데…
"FIWOM 2018 웃어봐+수잔과 남자+내일, 또 내일, 그리고 또 내일+여자1 여자2 여자3+루비 파샤의 전설",드라마,,,,,
너의 결혼식,멜로/로맨스,이석근,"박보영, 김영광, 강기영, 장성범, 고규필, 서은수, 차엽, 안길강, 배해선, 전배수, 김현숙, 하준, 이동석, 이재상, 서남윤, 김준수, 김지훈, 김태환, 김학준, 김한슬, 박규태, 정난희, 박종범, 박주희, 정유진, 정주호, 조영웅, 김건중, 홍근택, 홍진기, 김영훈, 강희중, 조성희, 신희철, 안민영, 윤경호, 강덕중, 유희제, 김성준, 박성준, 김민석",20180822,https://image.tmdb.org/t/p/w500/oOzH5nyyHMMDlwOAupnn4itIgCL.jpg,"고3 여름, 전학생 승희를 보고 첫눈에 반한 우연. 승희를 졸졸 쫓아다닌 끝에 마침내 공식커플로 거듭나려던 그때! 잘 지내라는 전화 한 통만 남긴 채 승희는 사라져버리고, 우연의 첫사랑은 그렇게 막을 내리는 듯했다. 1년 뒤, 승희의 흔적을 쫓아 끈질긴 노력으로 같은 대학에 합격한 우연. 그런데 그의 앞을 가로막은 건… 다름 아닌 그녀의 남.자.친.구!"
목격자,스릴러,조규장,"이성민, 김상호, 진경, 곽시양, 김수영, 김상호, 황영희, 이민웅, 이상희, 정유민, 박성근, 이동희, 김재철, 이재남, 이재우, 이태호, 이혜민, 정택호, 조아라, 황인범, 김자영, 박지후, 우상기, 정재광, 최정인",20180815,https://image.tmdb.org/t/p/w500/g19rot2PyNKuldAD1IrMic1lYua.jpg,"모두가 잠든 새벽, 비명소리를 듣고 베란다에 나간 ‘상훈’은 살인사건을 목격하게 된다. 신고를 하려던 순간, 손가락을 까딱거리며  자신의 아파트 층수를 세는 범인 ‘태호’와 눈이 마주치게 되는데…"
공작,드라마,윤종빈,"황정민, 이성민, 조진웅, 주지훈, 김지나, 김소진, 양현민, 정기섭, 김응수, 최병모, 정소리, 최정인, 곽자형, 권범택, 김인우, 엄지만, 김대현, 이경호, 이기용, 이동희, 이상원, 이상현, 박현민, 김재희, 이승찬, 이승환, 이승훈, 이은영, 김정현, 이재우, 이재혁, 김정호, 김종수, 서주연, 손승훈, 이창석, 이창훈, 이희경, 김지혜, 김지홍, 김진영, 김현중, 김형기, 김형우, 정재헌, 박진영, 강주석, 정혜경, 조현수, 강민지, 김다솜, 김대현, 김미혜, 최운진, 최지현, 최희열, 김수연, 김은아, 김승희, 김영진, 김영훈, 김용석, 김우영, 김우현, 주해은, 한창현, 민무제, 한수현, 금새록, 손성찬, 홍기준, 김규백, 김규남, 박경찬, 강덕중, 류성현, 감승민, 김현, 윤재인, 설창희, 양지수, 곽진석, 박혁민, 염석무, 정종우, 김도율, 권유진, 김종태, 박진수, 박혜영, 곽산, 임정민",20180808,https://image.tmdb.org/t/p/w500/uTiYfP9ESTHl1tHw2VJzqdxEtvF.jpg,"1993년, 북한 핵 개발을 둘러싸고 한반도의 위기가 고조된다. 정보사 소령 출신으로 안기부에 스카우트된 박석영은 ‘흑금성’이라는 암호명으로 북핵의 실체를 캐기 위해 북의 고위층 내부로 잠입하라는 지령을 받는다. 안기부 해외실장 최학성과 대통령 외에는 가족조차도 그의 실체를 모르는 가운데 대북사업가로 위장해 베이징 주재 북 고위간부 리명운에게 접근한 흑금성. 그는 수 년에 걸친 공작 끝에, 리명운과 두터운 신의를 쌓고 그를 통해서, 북한 권력층의 신뢰를 얻는데 성공한다. 그러나, 1997년. 남의 대선 직전에 흑금성은 남과 북의 수뇌부 사이 은밀한 거래를 감지한다. 조국을 위해 굳은 신념으로 모든 것을 걸고 공작을 수행했던 그는 걷잡을 수 없는 갈등에 휩싸이는데…"
신과함께-인과 연,"판타지, 드라마",김용화,"하정우, 주지훈, 김향기, 마동석, 김동욱, 도경수, 이준혁, 정지훈, 김동욱, 조한철, 장광, 이정재, 김민종, 김기태, 오희준, 이수봉, 이용희, 이우주, 이우주, 이준혁, 이지향, 이지향, 이지혜, 김지안, 김철구, 김태준, 안용우, 김학충, 노남석, 장재욱, 전종석, 박지선, 박찬영, 정진영, 권훈, 권수정, 김대근, 김대현, 김민석, 안지호, 강민, 임철수, 민무제, 강신철, 홍기준, 정아미, 홍인, 류제승, 최현종, 김그림, 양지수, 강재은, 전승재, 정진영",20180801,https://image.tmdb.org/t/p/w500/2ETx0U2Q5gUHtPJZiQ3hakTqyaR.jpg,"천 년 동안 48명의 망자를 환생시킨 저승 삼차사, 한 명만 더 환생시키면 그들도 새로운 삶을 얻을 수 있다. 하지만 강림은 원귀였던 수홍을 자신들의 마지막 귀인으로 정한다. 저승법 상 원귀는 소멸되어야하나 염라대왕은 새로운 조건을 내걸며 강림의 제안을 수락한다. 염라의 조건은 성주신이 버티고 있어 저승 차사들이 가는 족족 실패하는 허춘삼 노인을 수홍의 재판이 끝나기 전까지 저승으로 데려오는 것. 허춘삼을 데리러 이승으로 내려간 해원맥과 덕춘, 하지만 성주신의 막강한 힘 앞에 속수무책으로 당하기만 하는데..."
맘마미아!2,뮤지컬,올 파커,"아만다 사이프리드, 릴리 제임스, 메릴 스트립, 피어스 브로스넌, 제레미 어바인, 콜린 퍼스, 휴 스키너, 스텔란 스카스가드, 조쉬 딜란, 줄리 월터스, 알렉사 데이비스, 크리스틴 바란스키, 제시카 키나 윈, 도미닉 쿠퍼, 셰어, 앤디 가르시아",20180808,https://image.tmdb.org/t/p/w500/kOtJnv1plVPLTO6JadPv3WrWanF.jpg,"스카이(도미닉 쿠퍼)와의 행복한 여행이 끝나고, 마침내 그리스 칼로카이리 섬으로 돌아온 소피(아만다 사이프리드). 그녀는 엄마 도나(메릴 스트립)가 운영하던 호텔의 재개장을 준비하며 홀로서기를 결심한다.  소피를 도와주기 위해 찾아온 도나의 오랜 친구 타냐와 로지, 그리고 그녀의 사랑스러운 세 아빠들(?) 샘, 해리, 빌까지! 소피는 이들과 소중한 시간을 함께 보내며, 한 번도 들은 적 없던 도나의 찬란했던 20대 추억을 들여다보게 된다. 그리고 그들 앞에 뜻밖의 손님, 할머니 루비 셰리던(셰어)이 찾아오고, 영원히 잊지 못할 한여름 밤의 파티가 시작되는데..."
나를 차버린 스파이,"액션, 코미디",수잔나 포겔,"밀라 쿠니스, 케이트 맥키넌",20180822,https://image.tmdb.org/t/p/w500/pxBnrckggmykE56de7dqfNEHos2.jpg,"생일날 문자 이별 통보도 모자라 엿 같은 미션을 남기고 떠난 CIA 구남친 덕에 오드리와 절친 모건은 국제적인 범죄에 연루된다. 얼떨결에 스파이가 되어버린 이들이 유럽 전역을 누비는 가운데, 정체를 알 수 없는 영국 요원들이 접근하고 최정예 킬러까지 따라붙으며 두 절친의 입담과 액션이 터지기 시작하는데… 올여름, 이들의 근본 없는 액션이 당신을 깨운다!​"
몬스터 호텔 3,"애니메이션, 코미디, 가족, 판타지",젠디 타타코브스키,"아담 샌들러, 셀레나 고메즈, 앤디 샘버그, 스티브 부세미, 케빈 제임스, 캐서린 한",20180808,https://image.tmdb.org/t/p/w500/2fwjJmtkgn1G1aHEWlfBFSfyCPG.jpg,"평생 몬스터 호텔을 지키며  단 하루도 쉴 틈이 없었던 몬스터 호텔 주인 드라큘라 ‘드락’.  아빠의 생애 첫 휴가를 위해 딸 ‘마비스’는 일생일대 크루즈 가족 여행을 계획하고,  여름을 맞이한 몬스터 호텔 가족들은 인간 세상으로 생애 첫 바캉스를 떠난다.  시작부터 좌충우돌인 바캉스에서 ‘드락’은 미모의 크루즈 선장 ‘에리카’에게 첫눈에 반하고,  급기야 그녀의 무시무시한 비밀이 밝혀지면서 완벽했던 몬스터 호텔 가족들의 휴가는 오싹한 악몽으로 뒤바뀌는데! 그래서 진짜 휴가는 언제 가는 거죠?"
메가로돈,"액션, 공포(호러), SF",존 터틀타웁,"제이슨 스타뎀, 리빙빙",20180815,https://image.tmdb.org/t/p/w500/nJW6nWxQh9vq9RHayZFzuRF9ybj.jpg,"국제 해저 관측 프로그램으로 일환으로 심해를 탐사 중인 해저 탐험대는 정체 모를 거대 생물에게 공격을 당한다. 긴급 투입된 심해 구조 전문가 조나스(제이슨 스타뎀)는 그것이 200만년 전 멸종된 것으로 알려진 ‘메가로돈’임을 주장한다. 아무도 믿으려 하지 않지만, 조나스는 역사상 가장 위대하고 가장 거대한 포식자와 두 번째로 마주하는 것인데…"
미션 임파서블: 폴아웃,"액션, 스릴러",크리스토퍼 맥쿼리,"톰 크루즈, 레베카 퍼거슨, 바네사 커비, 미셸 모나한, 헨리 카빌, 안젤라 바셋, 사이먼 페그, 알렉 볼드윈",20180725,https://image.tmdb.org/t/p/w500/tKAlw88sEjU5bntbAfdfWcmRx6S.jpg,"에단 헌트는 세계를 위협하는 테러 조직 신디케이트의 수장 솔로몬 레인을 우여곡절 끝에 체포했지만, 그의 잔당들은 여전히 세계 각지에서 테러를 일삼는다. 에단 헌트와 그의 팀은 테러조직의 핵무기 소지를 막기 위해 미션에 착수한다. 에단 헌트는 작전 수행 중 예상치 못한 결단을 내리게 되고, 중앙정보국 CIA는 그를 견제하기 위해 상급 요원 어거스트 워커를 파견한다. 최악의 테러 위기와 라이벌의 출현 속, 팀이 행한 모든 선의의 선택들이 최악의 결과로 돌아오면서 미션은 점점 더 예측할 수 없는 상황으로 치닫게 되는데..."
마일22,"액션, 어드벤처, 스릴러",피터 버그,"마크 월버그, 로렌 코핸, 이코 우웨이스, 론다 로우지, 존 말코비치",20180823,https://image.tmdb.org/t/p/w500/tW2L3tb7kjCcuCnQ10mLpHQzBuY.jpg,"군사, 외교의 사각지대에서 임무를 수행하는 실패율 제로의 비밀조직 ‘오버워치’. 그들에게 전 세계 6개 주요 도시의 테러를 막을 수 있는 유일한 정보를 지닌 ‘타겟’이 접근한다. 22마일 떨어진 안전한 장소로 ‘타겟’을 이동시키는 새로운 작전이 시작되고, 타겟을 노리는 적들의 거센 공격이 가해지자 오버워치 팀원들은 작전 성공을 위해 자신들의 목숨을 바꿔가며 1마일씩 이송작전을 수행한다. 적을 뚫고 목적지에 가까워질수록 궁지에 몰리게 된 오버워치 앞에 타겟의 숨겨진 미션이 드러나게 되면서 또 다른 위기를 맞게 되는데…"
인크레더블 2,"애니메이션, 액션, 어드벤처, 코미디, 가족",브래드 버드,"크레이그 T. 넬슨, 사무엘 L. 잭슨, 홀리 헌터, 김연우",20180718,https://image.tmdb.org/t/p/w500/qGmgOmeN8AQX5LwrAVaatwWffDs.jpg,"슈퍼맘 헬렌이 국민 히어로 일라스티걸로 활약하며 세상의 주목을 받자 바쁜 아내의 몫까지 집안일을 하기 위해 육아휴직을 낸 아빠 밥은 질풍노도 시기의 딸 바이올렛, 자기애가 넘치는 아들 대쉬, 어마무시한 능력을 시도때도 없이 방출하는 막내 잭잭까지 전담하며 전쟁같은 하루하루를 보낸다. 그러던 어느 날, 각자의 위치에서 바쁜 일상을 보내던 슈퍼파워 가족 앞에 새로운 악당이 나타났다. 다시 한번 세상을 구하기 위해 나선 가족은 ‘인크레더블’한 능력을 발휘할 수 있을까?"
앤트맨과 와스프,"액션, 어드벤처, SF",페이튼 리드,"폴 러드, 에반젤린 릴리, 마이클 더글라스, 미셀 파이퍼, 로렌스 피쉬번, 해나 존-케이먼, 마이클 페나, 월튼 고긴스",20180704,https://image.tmdb.org/t/p/w500/3E6b73EeYqY7PGJNJWjR9AANXVw.jpg,"캡틴 아메리카의 요청으로 독일까지 가서 아이언맨 일행과 싸우고 돌아온 스콧은 어느 날 이상한 꿈을 꾼다. 그가 행크 핌 박사와 호프에게 꿈 이야기를 들려주자, 호프는 미지의 양자 영역에 갇혀버린 엄마 재닛의 메시지라는 것을 확신하게 된다. 행크 핌 박사는 자신의 비밀 연구소에서 그동안 개발해왔던 양자 터널과 탐색기를 이용해 1대 와스프 재닛의 구출작전을 펼치려 하지만, 시공간의 개념이 사라진 양자 영역으로 들어갈 수 있는 기술을 훔쳐 달아난 고스트 고스트가 나타나면서 일이 꼬여간다."
